Run Order,Oil,Smix,Water,Particle Size (nm),Spreadability (h),% in vitro Drug Release (t24),% in vitro Drug Release (t40),% Ex vivo drug release (t24),Viscocity (cps)
1,15,65,20,70,60,77,91,75,8.9
2,20,60,20,170,55,75,93,74,8.1
3,10,60,20,150,24,93,96,92,3.1
4,10,60,20,158,24,92,97,93,2.9
5,15,65,20,69,60,76,89,77,7.9
6,20,60,20,125,54,78,91,75,7.7
7,10,70,20,72,20,94,96,95,3.4
8,10,70,20,74,28,92,96,91,3.3
9,20,60,20,110,56,77,88,74,7.8
10,20,60,20,145,57,73,89,79,7.8
11,10,70,20,88,27,92,97,90,3.2
12,10,70,20,87,26,91,96,93,3.2
13,10,60,30,164,21,93,97,95,3.3
14,20,60,20,91,61,72,87,74,7.9
15,15,65,20,154,49,86,96,82,4.1
16,20,65,15,77,62,71,88,69,8.4
17,15,65,20,200,48,82,97,84,3.9
18,15,65,20,175,47,84,96,83,4
19,15,65,20,185,48,80,95,82,4
20,10,60,30,143,22,92,97,89,3.4
21,15,65.3,25,128.0,67.0,85.0,95.0,83.0,5.8
22,15,65.3,25,148.0,68.0,86.0,95.7,76.0,4.9
23,15,65.3,25,137,66,88,97.2,79,5.1
