Batch,Day,pH Online,pH Offline,Glucose,Lactate,Glutamine,Glutamate,Ammonia,Na+,K+,Ca++,Osmolality,pCO2,VCD,Viability,Titer,DCC,TCC,G0F,G1F,G2F,HM,Gal
1,1,7.2,7.1,8.5,0.5,4.0,0.3,0.2,140,5.0,0.5,300,40,0.5,95,50,0.5,0.48,0.49,45,40,10,3,2
1,2,7.1,7.0,7.8,1.2,3.5,0.8,0.5,142,5.2,0.6,305,42,1.2,94,120,1.2,1.15,1.18,110,95,12,4,3
1,3,7.0,6.9,6.5,2.5,2.8,1.5,1.0,145,5.5,0.7,310,45,2.5,93,250,2.5,2.40,2.45,230,200,15,5,4
1,4,6.9,6.8,5.2,4.0,2.0,2.2,1.8,148,5.8,0.8,315,48,4.0,92,400,4.0,3.85,3.95,370,320,18,6,5
1,5,6.8,6.7,4.0,5.5,1.5,3.0,2.5,150,6.0,0.9,320,50,5.5,91,550,5.5,5.30,5.45,510,440,20,7,6
1,6,6.7,6.6,3.0,7.0,1.0,3.8,3.2,152,6.2,1.0,325,52,7.0,90,680,7.0,6.55,6.70,630,545,22,8,7
1,7,6.6,6.5,2.2,8.5,0.8,4.5,4.0,155,6.5,1.1,330,55,8.5,89,780,8.5,7.50,7.70,720,625,24,9,8
1,8,6.5,6.4,1.5,10.0,0.5,5.2,4.8,158,6.8,1.2,335,58,10.0,88,850,10.0,8.15,8.35,785,680,25,10,9
2,1,7.3,7.2,8.8,0.4,4.2,0.2,0.1,138,4.8,0.4,295,38,0.4,96,55,0.4,0.38,0.40,50,43,11,2,1
2,2,7.2,7.1,8.0,1.0,3.8,0.6,0.4,140,5.0,0.5,300,40,1.0,95,130,1.0,0.95,0.98,120,105,13,3,2
2,3,7.1,7.0,6.8,2.0,3.0,1.2,0.8,143,5.3,0.6,305,43,2.0,94,280,2.0,1.90,1.95,260,225,16,4,3
2,4,7.0,6.9,5.5,3.5,2.2,1.8,1.5,146,5.6,0.7,310,46,3.5,93,450,3.5,3.35,3.45,415,360,19,5,4
2,5,6.9,6.8,4.2,5.0,1.8,2.5,2.2,149,5.9,0.8,315,49,5.0,92,600,5.0,4.80,4.95,555,480,21,6,5
2,6,6.8,6.7,3.2,6.5,1.2,3.2,3.0,152,6.2,0.9,320,52,6.5,91,720,6.5,6.00,6.15,665,575,23,7,6
2,7,6.7,6.6,2.5,8.0,1.0,4.0,3.8,155,6.5,1.0,325,55,8.0,90,820,8.0,7.80,8.00,760,655,25,8,7
2,8,6.6,6.5,1.8,9.5,0.6,4.8,4.5,158,6.8,1.1,330,58,9.5,89,890,9.5,8.45,8.65,825,710,26,9,8
3,1,7.1,7.0,8.2,0.6,3.8,0.4,0.3,139,4.9,0.5,298,39,0.6,95,48,0.6,0.46,0.47,43,37,10,2,2
3,2,7.0,6.9,7.5,1.3,3.2,0.9,0.6,141,5.1,0.6,303,41,1.3,94,115,1.3,1.10,1.13,105,90,12,3,3
3,3,6.9,6.8,6.2,2.8,2.5,1.6,1.2,144,5.4,0.7,308,44,2.8,93,240,2.8,2.25,2.30,220,190,15,4,4
3,4,6.8,6.7,5.0,4.2,1.8,2.4,1.9,147,5.7,0.8,313,47,4.2,92,390,4.2,3.65,3.75,360,310,18,5,5
3,5,6.7,6.6,3.8,5.8,1.3,3.2,2.6,150,6.0,0.9,318,50,5.8,91,530,5.8,5.00,5.15,490,420,20,6,6
3,6,6.6,6.5,2.8,7.5,0.9,4.0,3.4,153,6.3,1.0,323,53,7.5,90,660,7.5,6.20,6.35,610,525,22,7,7
3,7,6.5,6.4,2.0,9.2,0.7,4.8,4.2,156,6.6,1.1,328,56,9.2,89,760,9.2,7.10,7.30,700,605,24,8,8
3,8,6.4,6.3,1.4,10.8,0.4,5.5,5.0,159,6.9,1.2,333,59,10.8,88,830,10.8,7.80,8.00,765,660,25,9,9
4,1,7.4,7.3,9.0,0.3,4.5,0.1,0.1,137,4.7,0.3,292,37,0.3,97,58,0.3,0.56,0.57,53,46,12,1,1
4,2,7.3,7.2,8.2,0.8,4.0,0.5,0.3,139,4.9,0.4,297,39,0.8,96,140,0.8,1.33,1.36,128,110,14,2,2
4,3,7.2,7.1,7.0,1.8,3.2,1.0,0.7,142,5.2,0.5,302,42,1.8,95,300,1.8,2.82,2.88,275,238,17,3,3
4,4,7.1,7.0,5.8,3.2,2.5,1.6,1.3,145,5.5,0.6,307,45,3.2,94,480,3.2,4.50,4.60,440,380,20,4,4
4,5,7.0,6.9,4.5,4.8,2.0,2.8,2.0,148,5.8,0.7,312,48,4.8,93,640,4.8,5.98,6.12,585,505,22,5,5
4,6,6.9,6.8,3.5,6.2,1.5,3.5,2.8,151,6.1,0.8,317,51,6.2,92,770,6.2,7.15,7.30,705,610,24,6,6
4,7,6.8,6.7,2.8,7.8,1.2,4.2,3.5,154,6.4,0.9,322,54,7.8,91,870,7.8,8.10,8.30,795,685,26,7,7
4,8,6.7,6.6,2.2,9.5,0.8,5.0,4.2,157,6.7,1.0,327,57,9.5,90,940,9.5,8.75,8.95,860,740,27,8,8
5,1,7.0,6.9,7.8,0.7,3.5,0.5,0.4,140,5.0,0.5,300,40,0.7,95,52,0.7,0.49,0.50,47,41,11,2,2
5,2,6.9,6.8,7.0,1.5,3.0,1.0,0.7,143,5.3,0.6,305,43,1.5,94,125,1.5,1.17,1.20,115,99,13,3,3
5,3,6.8,6.7,5.8,3.0,2.2,1.8,1.4,146,5.6,0.7,310,46,3.0,93,260,3.0,2.42,2.48,240,207,16,4,4
5,4,6.7,6.6,4.5,4.5,1.8,2.6,2.2,149,5.9,0.8,315,49,4.5,92,420,4.5,3.90,4.00,385,333,19,5,5
5,5,6.6,6.5,3.5,6.0,1.3,3.4,2.9,152,6.2,0.9,320,52,6.0,91,570,6.0,5.28,5.42,520,449,21,6,6
5,6,6.5,6.4,2.6,7.5,1.0,4.2,3.6,155,6.5,1.0,325,55,7.5,90,700,7.5,6.48,6.65,640,553,23,7,7
5,7,6.4,6.3,1.9,9.0,0.7,5.0,4.3,158,6.8,1.1,330,58,9.0,89,800,9.0,7.38,7.56,730,632,25,8,8
5,8,6.3,6.2,1.3,10.5,0.5,5.8,5.0,161,7.1,1.2,335,61,10.5,88,870,10.5,8.04,8.24,795,687,26,9,9
